Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
"Data Analyst (Kafka, API)",ITI Data,4.0,Hyderābād,4 - 6 ,201 to 500 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,6.0,5.0,26
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Business system owner Order management – Senior Analyst,Sanofi EU,4.0,Hyderābād,8 - 10 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),8.0,10.0,9.0,52
Vendor Master Data Management Analyst,Sanofi EU,4.0,Hyderābād,6 - 10 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),6.0,10.0,8.0,52
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Global Planning Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Systems and Performance Insights Analyst - TSI,BP Energy,3.9,Pune,5 - 8 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,8.0,6.5,117
Risk Assurance - Senior Analyst,Sanofi EU,4.0,Hyderābād,3 - 7 ,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical and biotechnology,$10+ billion (USD),3.0,7.0,5.0,52
Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Solutions Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
FP&A Analytics & Digitization Solution delivery project Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Asset & Wealth Management Operations - Ops Product Data - Analyst - Hyderabad,Goldman Sachs,3.8,Hyderābād,8 - 10 ,10000+ Employees,1869,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),8.0,10.0,9.0,156
Benchmarking Analyst - TSI,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Technology &Transformation | EAD Engineering | Data Analyst,Deloitte,4.0,Bengaluru,6 - 9 ,10000+ Employees,1850,Company - Private,Business consulting,Management and consulting,Unknown / Non-Applicable,6.0,9.0,7.5,175
Senior AR Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
FP&A O&G Data Modelling Senior Analyst,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Associate Analyst - Data Solutions,Altus Group,3.6,Telangana,4 - 10 ,1001 to 5000 Employees,2005,Company - Public,Real estate,Real estate,$100 to $500 million (USD),4.0,10.0,7.0,20
Data Analyst,DAZN,2.9,Hyderābād,8 - 10 ,1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,8.0,10.0,9.0,10
Data Analyst,L&T Technology Services Limited.,3.4,Vadodara,4 - 6 ,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),4.0,6.0,5.0,11
Data Analyst - Offshore,Quest Global,3.7,Bengaluru,7 - 9 ,10000+ Employees,1997,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),7.0,9.0,8.0,28
"Analyst - Model Risk Management, Model Validation",BlackRock Investments,3.9,Gurgaon,6 - 9 ,10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),6.0,9.0,7.5,37
Junior Business Analyst - Asset Management Risk Controls,Delta Capita,3.3,Hyderābād,7 - 10 ,501 to 1000 Employees,2012,Company - Private,Investment & Asset Management,Finance,$25 to $50 million (USD),7.0,10.0,8.5,13
Data Analyst,HNM Solutions,4.3,Pune,3 - 6 ,51 to 200 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,3.0,6.0,4.5,-1
FBT Data Operations - Document Control & Engineering Data Analyst,BP Energy,3.9,Pune,6 - 7 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),6.0,7.0,6.5,117
Senior Analyst - Logistics AU,BP Energy,3.9,Pune,7 - 10 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),7.0,10.0,8.5,117
Performance Analyst - TSI,BP Energy,3.9,Pune,5 - 12 ,10000+ Employees,1908,Company - Public,Energy & Utilities,"Energy, mining, utilities",$10+ billion (USD),5.0,12.0,8.5,117
